quantity,name_short,name_long
4,Eidolon of the Great Revel,Eidolon of the Great Revel_61d94e0d-688f-5ac6-a856-ae51908dedc5.pdf
4,Goblin Guide,Goblin Guide_7864bde5-5b93-514e-8e77-447a96398e6b.pdf
4,Monastery Swiftspear,Monastery Swiftspear_440d32a6-efe1-5392-9fcf-5a23e1c72e77.pdf
4,Boros Charm,Boros Charm_28c6e265-2d3c-5e67-ba7c-01cfe8e42fc9.pdf
12,Lightning Bolt,Lightning Bolt_03cc5acf-6d3a-5d1c-8a0e-f51ee9122693.pdf
6,Lightning Helix,Lightning Helix_d44e2dae-a0ee-5fb6-abc9-7c95c72b0478.pdf
3,Searing Blaze,Searing Blaze_4e038342-7b39-5943-a020-66d735b5f1bd.pdf
2,Skullcrack,Skullcrack_d8167a2c-0042-515b-8b1b-29eec81e8d7c.pdf
4,Lava Spike,Lava Spike_b37623d2-c285-5e2d-8821-c58ab164a8e3.pdf
4,Rift Bolt,Rift Bolt_ebf62806-8340-5d43-919d-5d2fd0fe99e8.pdf
4,Skewer the Critics,Skewer the Critics_b07cee18-69c7-59b9-b4c3-b9afd07cca9a.pdf
4,Inspiring Vantage,Inspiring Vantage_271fae1c-c6fc-5a42-ab6c-5483c3ea433f.pdf
4,Sunbaked Canyon,Sunbaked Canyon_96cc2a60-2382-5ac0-b9cf-67b270352514.pdf
4,Arid Mesa,Arid Mesa_be3b2311-075c-5f68-bb6a-c4893527ba22.pdf
4,Death's Shadow,Death's Shadow_2b14982e-212f-5778-bc76-60953ea4bb14.pdf
2,Dismember,Dismember_56f0effb-a01b-5ee6-a9dd-4f7518b428d5.pdf
6,Fatal Push,Fatal Push_a5dd8396-709d-5279-980e-2b5021ced787.pdf
4,Gurmag Angler,Gurmag Angler_50345bd2-1194-5c24-ad2f-e41db961b9c4.pdf
6,Inquisition of Kozilek,Inquisition of Kozilek_196c3543-92a5-5a91-b73f-2437e1137e02.pdf
3,Kolaghan's Command,Kolaghan's Command_f20e7688-5d16-509b-81fc-eca26b1300b6.pdf
1,"Liliana, the Last Hope","Liliana, the Last Hope_63502ce7-0a22-5c6b-ba50-f0da858ac3e4.pdf"
1,Mausoleum Secrets,Mausoleum Secrets_8a4f3ef5-dd2e-5c7c-b241-676aa4d29433.pdf
4,Street Wraith,Street Wraith_fb2cfa2f-3bf3-5056-b6fe-d9d3acceb193.pdf
7,Stubborn Denial,Stubborn Denial_72035da2-eda1-5cb6-bc6d-46cb5b11ffe5.pdf
4,Thought Scour,Thought Scour_f6513e7f-eeef-5f19-a190-e73df7fa690a.pdf
6,Thoughtseize,Thoughtseize_950dd138-8a80-5c6e-9bf4-a5da94494e69.pdf
2,The Royal Scions,The Royal Scions_5d565c75-36f3-527c-9482-10feb9a7c537.pdf
3,Anger of the Gods,Anger of the Gods_68d36860-8ca6-5a3f-b413-95c8f792a62c.pdf
3,Celestial Colonnade,Celestial Colonnade_036928ca-8461-5331-b472-d428060b7d66.pdf
2,Cryptic Command,Cryptic Command_699ac242-9805-540e-829a-c9ae69553072.pdf
1,"Emrakul, the Aeons Torn","Emrakul, the Aeons Torn_f62cf7d1-ec12-5146-840f-00ce29677217.pdf"
1,Field of Ruin,Field of Ruin_8e993596-a7ed-51b8-85b5-db92693ab823.pdf
6,Flooded Strand,Flooded Strand_272d9c8a-3073-52dd-ae4d-c842311cc7c8.pdf
2,Gideon of the Trials,Gideon of the Trials_ba15790c-7d8c-5528-9de4-6faf60f2a981.pdf
1,Glacial Fortress,Glacial Fortress_c400307c-8bba-57bb-8ba9-20c531d1e0de.pdf
3,Hallowed Fountain,Hallowed Fountain_5549ede3-8626-5af9-a06b-fed719e20c2d.pdf
3,Mana Leak,Mana Leak_f32677d3-7d3d-5877-a39b-0692c1621fe6.pdf
4,"Nahiri, the Harbinger","Nahiri, the Harbinger_100534ab-99f1-57ab-a0a3-cca9911633cb.pdf"
2,Search for Azcanta,Search for Azcanta_2ae54370-11a5-51a8-9aa4-15378ca7f1c8.pdf
1,Sulfur Falls,Sulfur Falls_fbe0f795-3910-5cdb-a088-3a826b0fbfe5.pdf
4,Bloodbraid Elf,Bloodbraid Elf_8f7b27b1-4ab0-5769-b370-87048140f6bb.pdf
2,Dark Confidant,Dark Confidant_5d3d2948-8e86-5e2f-9881-6c5c429a63d4.pdf
2,Scavenging Ooze,Scavenging Ooze_36b8f259-422b-5a6a-a83d-154a7d4c60b5.pdf
1,Tireless Tracker,Tireless Tracker_555ea555-0aa9-5f34-b625-0eb3bee15f4d.pdf
2,Assassin's Trophy,Assassin's Trophy_cb2e190b-2424-5ed8-adfd-02cb06c9f642.pdf
4,Liliana of the Veil,Liliana of the Veil_654cdf16-5c43-5e64-9653-5849d8a6d460.pdf
3,Wrenn and Six,Wrenn and Six_433ca61e-174d-5ff3-ac46-411498e3f2de.pdf
1,Barren Moor,Barren Moor_8d98cc4b-5e0c-50f6-a612-90592b4b024f.pdf
4,Blackcleave Cliffs,Blackcleave Cliffs_9e69e9f7-c9cf-5300-84ad-77ca7bc98e50.pdf
2,Nurturing Peatland,Nurturing Peatland_969657bf-e73e-5143-bba3-c3c6bf713a89.pdf
2,Overgrown Tomb,Overgrown Tomb_6f4ba89b-faee-5d83-9dab-2ddecfa9bb33.pdf
1,Raging Ravine,Raging Ravine_9009ee4c-bab0-55f3-a74c-54e9cb9e0459.pdf
1,Stomping Ground,Stomping Ground_a0741f21-70b3-54f4-9089-d10ed590f400.pdf
4,Verdant Catacombs,Verdant Catacombs_deab807d-80e2-5268-8bae-62240182c32a.pdf
2,Wooded Foothills,Wooded Foothills_258cb7e1-6ba9-58d5-96df-e68f49890958.pdf
2,Brazen Borrower,Brazen Borrower_f66a9d9e-9c70-5fe2-86fb-83e7d1ab2fdb.pdf
4,Kumena's Speaker,Kumena's Speaker_536cf556-bce5-5ef0-bc10-8ac770dcabec.pdf
4,Lord of Atlantis,Lord of Atlantis_2f4e6451-9584-5033-be4f-901629a1f81f.pdf
4,Master of the Pearl Trident,Master of the Pearl Trident_7b9b32e0-7ddf-5865-a225-4a349c7ace5f.pdf
4,Merfolk Mistbinder,Merfolk Mistbinder_29ee4cc6-68eb-5ddb-b90b-a1ce0441aaf3.pdf
4,Merfolk Trickster,Merfolk Trickster_10ad01a3-c00e-5a2b-9ca6-2a7dee016f55.pdf
4,Silvergill Adept,Silvergill Adept_18cec82b-6899-5bd9-b449-91105f4d11fa.pdf
8,Aether Vial,Aether Vial_934851b4-ba51-5155-b335-989a897e05ad.pdf
3,Force of Negation,Force of Negation_8a5cecc3-f366-529d-88c2-eae8feca2401.pdf
4,Spreading Seas,Spreading Seas_e6c554b4-5490-55c1-b481-327783a1ba21.pdf
4,Botanical Sanctum,Botanical Sanctum_ed883f48-249f-599e-bccb-c68f702c9d12.pdf
3,Breeding Pool,Breeding Pool_ba0c9b56-2772-57a9-97b4-5a869288faa0.pdf
3,Cavern of Souls,Cavern of Souls_d03732a5-967b-517c-a221-7e9cd0df8218.pdf
3,Mutavault,Mutavault_6a3aeba8-7740-5430-a1fe-ad4dc4a05ff0.pdf
4,Waterlogged Grove,Waterlogged Grove_1af234a0-d13a-58d2-ba77-9a04b9ad0a9d.pdf
4,Caves of Koilos,Caves of Koilos_fe72711d-532a-5471-9069-095d857e6e96.pdf
4,Concealed Courtyard,Concealed Courtyard_6bf1a88b-32f8-52b2-9466-757ca8cd412f.pdf
8,Eldrazi Displacer,Eldrazi Displacer_24eb80ce-07cf-53ce-852b-c37b568c2a15.pdf
8,Eldrazi Temple,Eldrazi Temple_9ec842a1-ad85-5291-a32b-ef26cc9edf9a.pdf
4,Flickerwisp,Flickerwisp_e92c1e3b-e42e-5626-86f3-13f785083cd2.pdf
4,Ghost Quarter,Ghost Quarter_baf5dd39-ff8a-5800-a51e-8355777c3afa.pdf
1,Godless Shrine,Godless Shrine_e8c80981-95df-5697-add7-5579823e31e8.pdf
2,"Kaya, Orzhov Usurper","Kaya, Orzhov Usurper_fcee8112-dfcc-583b-82c4-2ff672373673.pdf"
4,Leonin Arbiter,Leonin Arbiter_e0e43e62-f0a1-572c-aef8-1d8f30ab9bb4.pdf
3,Shambling Vent,Shambling Vent_9d52eacc-1f1e-5858-992d-716aab8fb220.pdf
4,"Thalia, Guardian of Thraben","Thalia, Guardian of Thraben_a203c1fb-1ffe-527a-bb9a-988504061da0.pdf"
8,Thought-Knot Seer,Thought-Knot Seer_d28cea26-46c3-5366-a5cf-8dee155ff0a8.pdf
4,Tidehollow Sculler,Tidehollow Sculler_386e09d9-a3ff-5e81-ac79-0fa1c9406778.pdf
3,Wasteland Strangler,Wasteland Strangler_a8541fd0-9ef5-539a-af1a-95a18f0b80ab.pdf
2,Ancient Stirrings,Ancient Stirrings_002ff8e2-fbf4-500f-822a-326613b2859a.pdf
2,Brushland,Brushland_ca1b29f4-9019-5ddc-95af-a5c900b67c59.pdf
2,Drowner of Hope,Drowner of Hope_e731d09c-907c-569a-9d20-7093aff0faaa.pdf
2,Knight of Autumn,Knight of Autumn_5ad81f9e-8c37-52b8-8a59-dc0144b95bc5.pdf
4,Noble Hierarch,Noble Hierarch_27ff16d3-3501-550f-be0a-7833b22cebef.pdf
4,Once Upon a Time,Once Upon a Time_61aa186b-ee28-52e3-b300-de15b3c9852b.pdf
4,Prismatic Vista,Prismatic Vista_03a86e3c-f706-5ea5-858c-37a0b4877f8a.pdf
4,Reality Smasher,Reality Smasher_18e954e0-08f0-5e42-b583-f126c22eee1b.pdf
1,Temple Garden,Temple Garden_7f71bf81-20e7-5552-8e42-71ef02109a19.pdf
2,Thragtusk,Thragtusk_d76f0099-3dee-5540-b072-bedfaef11162.pdf
1,Wastes,Wastes_6d342da8-9fdf-54a6-b18b-39c025b23fcf.pdf
2,Windswept Heath,Windswept Heath_d9e67686-9409-5b96-9576-3067d4dc1cae.pdf
2,Yavimaya Coast,Yavimaya Coast_f9e51cef-ac3b-5dfe-8cfb-bedc32e78ffa.pdf
3,Bloodstained Mire,Bloodstained Mire_d6911a3a-5654-56d1-9cca-14bc12380900.pdf
6,Bloodstained Mire,Bloodstained Mire_bba61b77-f45d-5630-97de-a3395aac63a8.pdf
1,Sacred Foundry,Sacred Foundry_f818b1d2-3dfc-5da3-bd43-b0ad5e74d2de.pdf
2,Sacred Foundry,Sacred Foundry_a55fe4aa-fd82-557c-986b-7861401b5d32.pdf
1,Blood Crypt,Blood Crypt_4c0e6a49-cc70-5b5b-aebd-340290c18da4.pdf
1,Blood Crypt,Blood Crypt_36274a9e-b9b7-5c23-a3b4-9beec94f25c2.pdf
2,Polluted Delta,Polluted Delta_1b8da7b5-03b7-5cb1-884b-5e8ac1b3e1d0.pdf
2,Polluted Delta,Polluted Delta_4bb011bb-4e26-53ed-b566-cd4fd38bad99.pdf
7,Scalding Tarn,Scalding Tarn_f726e044-4a37-504b-9905-1f7d1d15a599.pdf
2,Serum Visions,Serum Visions_f0bf1ffc-9fe8-5b8f-a4b7-32f3c15d71af.pdf
4,Serum Visions,Serum Visions_0bf87dc1-14e2-5a49-b8d2-6a5d574c9775.pdf
4,Snapcaster Mage,Snapcaster Mage_1ba51b7a-33b4-576b-8846-2c119c1bab6d.pdf
2,Snapcaster Mage,Snapcaster Mage_25c2eb67-1208-5a6d-9417-780209e5bc9c.pdf
2,Steam Vents,Steam Vents_61683cea-1f07-5380-bd82-53a0a01ae210.pdf
2,Steam Vents,Steam Vents_e21a0a24-c399-51f9-a42e-a86b3699fae7.pdf
2,Watery Grave,Watery Grave_1b056f5a-1c37-5ba2-abcd-2451ad6d2c41.pdf
1,Watery Grave,Watery Grave_26904736-6aad-55a7-abdf-8dee07ccfce6.pdf
4,Path to Exile,Path to Exile_28d35316-6d5e-51eb-a28c-e86ee67565e5.pdf
4,Path to Exile,Path to Exile_939f7fd7-3773-5817-b2f1-eeaabb2bc7d7.pdf
3,Path to Exile,Path to Exile_d40ee911-dd42-5819-89af-bb3d9e0185f3.pdf
2,Tarmogoyf,Tarmogoyf_1d475079-baf8-5db3-9ab3-3465637dedbb.pdf
2,Tarmogoyf,Tarmogoyf_e1d02be0-92fb-5381-9b72-208121733cb8.pdf
3,"Oko, Thief of Crowns","Oko, Thief of Crowns_7998ef11-85d3-5280-b880-bd8b3a896e66.pdf"
3,"Oko, Thief of Crowns","Oko, Thief of Crowns_202c6f3d-2094-516d-bd3e-1c3e7d16be3e.pdf"
2,Forest,"Forest_57de7fff-f769-591b-9dc5-e984ce806ee0.pdf"
4,Swamp,"Swamp_e48df897-d2ff-5cf8-96fa-7dee8f562348.pdf"
5,Mountain,Mountain_cbb79f69-bf90-5e7e-98a7-418489e2b56e.pdf
3,Island,Island_71c349b3-2c12-5f07-a4a2-4b2d542cb0a1.pdf
3,Island,Island_9676c374-e2bb-5d82-a278-bafbd88b0e65.pdf
3,Island,Island_c5c56012-fe54-57d4-b603-4e29ad57b280.pdf
1,"Azcanta, the Sunken Ruin","Azcanta, the Sunken Ruin_077c8bb3-ee90-5b22-847a-fc5d15487cad.pdf"
